id,time,intid,area,rsphone,acode,zip,ringer,intro1,intro2,srvyinfo,gender,rwdirusa,rwdiril,rwdirlocal,qlife,ccintro,recall,order1,concon,order2,rcc1,rcc1ccp,rcc1ccq,rcc2,rcc2ccp,rcc2ccq,ccr1,ccr1ccq,ccr1r,ccr2,ccr2ccq,ccr2r,tax_fed_val,tax_il_val,tax_fairshr,qlintro,qual_air,qual_infra,qual_cops,qual_K12,econ_local,qual_parks,concon_info,ilbudg_st,ilbudg_gdjob,ilbudg_prjob,ilbudg_gdjob1,ilbudg_prjob1,ilbudg_prjob2,ilbudg_gdjob2,ilbudg_intro,ilbudg_gov,ilbudg_leg,Ilbudg_senpres,Ilbudg_horspk,stfin_intro,stfin_total,stfinord,stfin1,stfin2,cuts_intro,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,pen_cuts,cuts_comment,tax_intro,tax_hinc,tax_sales,tax_services,gamble_exp,sell_il_asset,tax_comment,crts_intro,judic_apelect,judic_apelectfeel,judic_campissue,crts_intro2,cf_lim_judg1,cf_lim_judg2,cf_pub_judg1,cf_pub_judg2,crts4ord,crts4a,crts4b,demo_intro,birth_yr,hh_child,comun_type,zip2,county,education,employ_time,rent_own,marstatus,party_aff08,party_repstr,party_demstr,party_indystr,party_aff,rac_eth,hh_inc,numphones,havecell,gender2,cbtime,nrv,thanks,sorry,thanksc,results,spanish,date1,regwgt,gendwgt,rxgwgt
100,15,190,2,708599,708,60457,1,2, , ,2,2,2,2,3, ,2,2,2,2,999, ,999,999, ,999, ,999,999, ,1,2,5,4,2, ,3,3,2,3,5,3,2,4,0,1, , ,1,0, ,4,4,4,4, ,2,1,2,999, ,2,2,2,2,2,2,1, ,1,2,2,2,2,0, ,1,1,1, ,1,1,2,1,2,999,2, ,1,0,2,60457,1,6,5,1,3,3, , ,1,5,1,9,1,1,2, , , , ,1,1, ,20081007,1.30841121495327,.83743842364532,1.09571382533033
148,8,12,2,708614,708,60462,1,1, ,1,1,2,2,8,2,2,2,2,1,2,999, ,999,999, ,999, ,999,999,2,2,2,5,5,3,3,3,5,2,3,3,2,4,4,0,0, , ,0,0,0,4,8,4,8,0,2,2,999,1,0,2,2,2,2,2,2,0,0,1,2,2,8,2,0,0,1,1,2,2,1,1,2,2,2,999,1,0,1,2,2,60462,1,3,5,1,1,2, ,1, ,7,1,9,1,1,1, , , , ,1,1, ,20081008,1.30841121495327,1.25319693094629,1.63969691899515
637,15,222,2,708647,708,60430,1,2, , ,2,2,2,2,2, ,2,2,8,1,999, ,999,999, ,999, ,8,2, ,999,999,3,3,2, ,2,2,3,1,3,1,4,3,0,1, , ,1,0, ,4,3,8,8, ,2,1,2,999, ,2,2,2,2,1,2,0, ,1,2,2,2,8,0, ,1,2,1, ,1,1,4,8,1,8,999, ,1,0,2,60430,1,6,5,1,1,1,2, , ,2,1,6,1,1,2, , , , ,1,1, ,20081001,1.30841121495327,.83743842364532,1.09571382533033
37,11,12,2,708660,708,60302,1,1, ,1,1,2,2,2,2, ,3,1,2,1,3, ,2,999, ,999, ,999,999, ,999,999,5,4,2, ,2,5,1,1,2,1,4,3,0,0, , ,0,0,0,3,3,3,3,1,2,1,2,999,2,2,1,2,2,1,1,0,0,2,2,2,1,1,0,0,1,1,2,2,1,1,1,2,2,999,1,1,1,2,2,60302,1,6,5,1,1,3, , ,2,3,1,5,1,1,1, , , , ,1,1, ,20080924,1.30841121495327,1.25319693094629,1.63969691899515
877,12,11,2,708672,708,69999,1,1, ,1,1,2,1,1,3,1,2,2,2,2,999, ,999,999, ,999, ,999,999,1,1,2,3,3,3,0,3,3,3,2,2,2,3,4,0,0, , ,0,0,0,4,4,4,4,4,2,1,2,999,1,2,2,2,2,2,2,0,0,2,2,2,2,2,0,0,1,1,1,0,2,2,2,1,2,999,2,0,9,0,2,69999,1,5,5,1,1,3, , ,3,4,1,9,1,1,1, , , , ,1,1, ,20081002,1.30841121495327,1.25319693094629,1.63969691899515
101,18,190,2,708672,708,60417,1,1, ,1,1,2,8,1,2, ,2,1,2,1,2, ,2,999, ,999, ,999,999, ,999,999,1,3,8, ,2,2,1,1,2,1,2,4,0,1, , ,1,0, ,3,8,8,3, ,2,1,2,999, ,2,8,2,2,2,2,1, ,1,2,2,1,1,0, ,1,1,2, ,1,1,4,2,1,2,999, ,1,2,2,60417,4,5,5,1,1,3, , ,3,4,1,5,1,1,1, , , , ,1,1, ,20081007,1.30841121495327,1.25319693094629,1.63969691899515
329,15,20,2,708687,708,60452,1,3, , ,2,2,2,1,2, ,8,1,1,1,8, ,1,999, ,999, ,999,999, ,999,999,2,2,2, ,2,8,2,3,2,2,4,2,8,8,8,8, , , ,3,3,8,2, ,8,2,999,8, ,2,2,2,2,2,2,8, ,1,2,2,8,8,8, ,1,1,1, ,3,3,4,2,2,999,1, ,1,0,2,60452,1,4,2,1,1,7, , ,8,8,1,2,1,2,2, , , , ,1,1, ,20081008,1.30841121495327,.83743842364532,1.09571382533033
186,20,45,2,708728,708,60458,1, ,3, ,2,2,2,2,3, ,4,1,2,1,4, ,2,999, ,999, ,999,999, ,999,999,3,3,2, ,4,4,4,3,3,2,4,3,8,1, , ,1,8, ,3,8,3,2, ,2,1,2,999, ,2,2,2,2,2,2,1, ,2,2,1,2,2,1, ,2,1,2, ,4,3,4,2,1,2,999, ,1,0,2,60458,1,5,5,2,3,1,1, , ,1,1,5,1,1,2, , , , ,1,1, ,20080925,1.30841121495327,.83743842364532,1.09571382533033
1195,25,216,2,708730,708,60409,1,1, ,1,2,2,2,2,2,1,1,1,1,1,1,1,1,999, ,999, ,999,999, ,999,999,4,4,2,1,3,3,3,2,2,2,4,4,0,1, , ,1,0,0,4,4,4,4,1,2,1,2,999,1,2,2,2,2,2,8,1,1,1,2,2,1,2,1,1,1,1,8,1,4,4,1,2,1,2,999,1,1,0,2,60409,1,6,5,1,4,2, ,2, ,6,2,6,2,1,2, , , , ,1,1, ,20081002,1.30841121495327,.83743842364532,1.09571382533033
817,19,45,2,708747,708,60466,1,1, , ,1,2,2,1,2, ,1,2,2,1,999, ,999,999, ,999, ,2,1, ,999,999,4,5,2, ,2,3,2,5,3,2,3,3,8,1, , ,1,8, ,4,4,4,4, ,2,2,999,1, ,2,2,2,2,1,2,1, ,1,2,2,2,2,1, ,1,1,2, ,1,1,2,1,2,999,2, ,1,0,2,60466,1,6,2,1,1,1,1, , ,1,1,6,2,1,1, , , , ,1,1, ,20081008,1.30841121495327,1.25319693094629,1.63969691899515
