id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_pres_oba,app_ussen_dur,fix_deficit_il,cuts_k12,cuts_he,cuts_he31,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_gas10,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50K,tax_temp_inc,tax_temp_inc45,tax_mil,tax_graduated,frack_know,frack_safe,frack_bene,grow_dt,safe_walk,mod_trans,mod_trans_other,prefer_cars,local_food,vet_greatest,vet_greatest_other,vet_2ndgreat,vet_2ndgreat_other,news_social,news_nat_paper,news_loc_paper,news_nat_tv,news_loc_tv,news_nat_radio,news_loc_radio,news_online_cons,news_online_libs,social_shrviews,pens_bnkrpt_il,pens_bnkrpt_chi,abort_leg,lg_coup_rts,feel_priv_union,feel_pub_unioin,feel_muslims,feel_lds,education,ideo_leans,ideology,party_leans,party_aff,employ_time,employ_type,retired_type,union,relig_often,relig_1,relig_2,religion,born_again,vet_you,vet_family,zip,age_cat,birth_yr,rac_eth,rac_eth_other,neighborhood,hh_inc,City,County,Latitude
011538,2,1, , ,1,1,2,2,2,1,1,9,2,4,5,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1, ,1,1,3,4,2,3,2,1, ,2,3,1, ,4, ,7,7,1,7,1,1,0,0,7,1,2,3,1,1,1,1,1,2,6,1,1,1,1,3, ,5,2,1,1, ,1,2,5,1,60201,9,1952,1, ,7,6,Evanston,Cook,42.04
015877,2,1, , ,1,1,2,1,2,1,2,9,9,4,4,3,2,1,1,2,1,2,2,2,2,1,4,2,1,2, ,1,4,2,4,2,1,1,1, ,1,2,4, ,3, ,0,0,0,7,7,0,0,0,0,3,2,2,1,1,2,2,2,2,4,2,1,5,3,3, ,3,2,3,1, ,1,2,5,1,60532,10,1945,1, ,7,2,Lisle,Dupage,41.79
013783,2,1, , ,1,1,2,1,3,1,1,1,5,5,5,1,2,2,2,2,2,2,2,2,2,4,1,1, ,1, ,1,1,1,4,2,3,1,1, ,2,2,13,THEY'RE NOT GETTING SERVICES BENEFITS OR ANYTHING,1, ,7,7,1,7,1,5,5,4,3,3,2,1,1,1,1,1,1,1,3,3,2,1,1,3, ,2,2,4, ,1,1,2,5,1,60491,8,1955,1, ,7,6,Homer Glen,Will,41.6
011428,2,1, , ,1,1,2,3,2,1,1,5,9,2,2,2,2,1,1,2,2,1,1,1,2,3,2,1, ,4,3,3,1,1,2,2,1,1,1, ,1,2,3, ,1, ,0,7,7,7,7,7,7,7,7,1,1,1,3,1,4,4,1,1,6,2,1,4,2,3, ,1,2,3,1, ,1,2,5,2,60189,8,1957,1, ,8,7,Wheaton,Dupage,41.85
016141,2,1, , ,1,1,2,2,2,1,3,1,9,2,5,2,1,2,1,2,1,2,2,2,2,3,2,1, ,4,4,1,4,3,3,2,4,1,1, ,1,3,13,I THINK THEY HAVE PRIVATE FUNDED PROGRAMS FOR VETERANS WITH TRAUMA,3, ,0,0,0,1,1,3,3,0,9,3,1,1,1,1,2,2,4,2,2,2,1,3,1,3, ,1,2,6, ,1,1,2,5,1,60457,11,1944,1, ,9,1,Hickory Hills,Cook,41.72
009414,3,2,1,1, ,1,1,1,1,1,2,9,9,5,9,1,2,1,2,1,2,2,2,2,1,1,2,2,1,4,4,5,2,4,5,2,1,2,7,MY GIRLFRIEND TAKES ME,2,3,1, ,3, ,0,2,1,5,7,0,0,0,0,3,2,2,1,1,5,1,2,1,2,2,1,1,1,3, ,1,2,5, ,1,1,2,5,1,61201,10,1947,2, ,3,1,Rock Island,Rock Island,41.47
011736,1,1, , ,1,1,2,3,3,3,3,9,9,9,9,2,2,3,3,3,2,2,2,3,2,3,3,3, ,3,4,1,3,4,5,2,4,6,2, ,2,4,1, ,14, ,0,0,5,7,7,7,7,0,0,3,3,3,2,1,5,5,5,2,3,2,1,4,2,3, ,3,2,5, ,1,1,3,2,2,99999,13,1921,2, ,9,4, , , 
014705,1,1, , ,1,1,2,1,1,1,1,3,5,5,5,3,2,2,2,2,1,2,2,1,2,4,4,2,2,2, ,1,1,2,4,2,4,2,2, ,2,1,7, ,3, ,0,7,7,7,7,0,0,0,0,3,1,1,1,1,4,4,2,3,5,2,1,7,3,3, ,1,2,5, ,1,1,2,5,1,60642,10,1947,1, ,3,7,Chicago,Cook,41.9
015738,1,1, , ,1,1,1,2,1,1,2,5,5,1,4,2,2,1,1,2,1,2,2,1,1,1,3,2,2,4,4,1,2,1,2,1,1,1,2, ,2,3,3, ,1, ,7,0,0,7,7,5,5,0,0,2,1,1,1,1,4,4,1,1,6,3,2,4,2,1,4, ,2,1,1, ,1,1,5,1,60611,9,1953,1, ,7,7,Chicago,Cook,41.83
018101,1,2,1,1, ,1,2,2,1,1,3,4,4,5,3,3,2,1,1,1,2,2,2,2,2,4,1,2,1,1, ,1,1,1,2,1,4,1,1, ,2,2,1, ,3, ,7,3,3,7,7,4,4,2,2,1,2,2,1,3,2,1,3,1,3,5,3,1,1,1,4, ,2,1,1, ,1,2,5,2,60628,4,1977,2, ,2,2,Chicago,Cook,41.83
015554,2,2,1,1, ,1,2,3,2,3,2,9,9,4,5,3,2,2,2,2,2,2,2,1,2,2,3,3, ,5, ,1,1,2,3,2,3,2,1, ,2,2,3, ,1, ,7,5,5,2,4,3,1,0,0,1,3,1,1,1,5,5,5,5,5,2,1,2,1,1,2, ,2,4, ,1,1,2,5,2,60625,5,1974,1, ,10,4,Chicago,Cook,41.83
017233,2,2,1,1, ,1,2,2,2,2,5,4,2,5,5,3,2,2,2,2,2,2,2,2,2,1,4,2,2,4,3,1,2,3,5,2,3,4,1, ,2,2,2, ,3, ,0,7,7,7,4,3,3,1,1,3,2,2,1,2,2,2,1,1,6,4,3,4,2,1,4, ,2,1,1, ,1,1,5,1,60473,8,1955,2, ,3,9,South Holland,Cook,41.59
011633,2,1, , ,1,1,1,1,2,1,2,9,1,4,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2, ,1,1,1,4,2,2,1,1, ,2,2,4, ,1, ,7,4,1,4,7,0,0,0,0,4,1,1,1,1,4,3,2,5,3,6, ,4,2,3, ,1,2,5, ,3,3, ,2,1,60120,7,1960,1, ,7,2,Elgin,Cook,42.03
017865,2,1, , ,1,1,2,2,1,1,2,4,4,1,4,2,2,2,2,2,2,2,2,1,2,4,2,2,2,4,3,3,2,1,4,2,1,2,1, ,1,2,1, ,3, ,7,5,7,3,3,0,7,0,0,1,2,2,1,1,2,2,2,2,5,3,2,4,2,1,2, ,2,2,1, ,1,2,5,2,60076,1,1992,6,ASSYRIAN,9,3,Skokie,Cook,42.03
