id,area,rwdirusa,rwdiril,rwdirlocal,qlife,redist_hat,redist_neutral,redist_commis,app_pres_oba,firstam_1,firstam_2,firstam_3,firstam_4,firstam_5,firstam_6,firstam_7,firstam_8,firstam_9,firstam_10,firstam_11,firstam_12,firstam_13,firstam_14,massmedia,press_free,teapar_know,app_teapar,teapar_vote,gen10_vote,gen10_pollplace,gen10_house,gen10_enthu,term_lim_10,term_leader,cf_lim_judic,cf_pub_judic,cf_lim_leader,prim_nodeclr,fix_deficit_il10,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_disable,pen_cuts,tax_inc10,tax_sales,tax_services1,tax_services2,gamble_exp,sell_il_asset,gen10_gov,gen10_gov_no3,gen10_ussen,gen10_ussen_no3,recall_today,recall,abort_leg,lg_coup_rts,lg_mil_open,death_pen,betteroff_now,betteroff_1yr,poltol_vers,poltol_frs,poltol_frs_rep,poltol_frs_dem,poltol_frs_wom,poltol_frs_teapar,poltol_frs_lds,poltol_fru,poltol_fru_rep,poltol_fru_dem,poltol_fru_wom,poltol_fru_teapar,poltol_fru_lds,poltol_you_rep,poltol_you_dem,poltol_you_wom,poltol_you_teapar,poltol_you_lds,gender,education,ideology,party_aff,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,christian_type,birth_yr,zip,rac_eth,rent_own,hh_inc,zip1,fips,adi,dma,msa,nielson,census,firam_pres,firam_spe,firam_relig,firam_pet,firam_asmbly,firam_tot,firam_none1,firam_other,firam_none2
031496,1,1,2,1,2,2,4,1,2,2,5,1, , , , ,6, , , , , , ,1,2,1,4,2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2, ,1,2,2,1, ,1, ,1,1,2,2,2,2,3,3,1,1,0,3,3,0,2, , , , , , , , , , , ,2,5,2,1,1,1, ,5, , , , , , , , , , , , , ,1959,60660,1,2,4,60640,17031,196,140,1698,A,3,1,1,0,0,1,3,0,0,0
031537,3,1,2,1,2,3,5,3,2,2, , , , , , ,5,3, , , , , ,2,3,2,5, ,1,1,2,2,1,1,1,5,4,1,2,2,2,2,2,3,1,1,1,1,1, ,1,2,1, ,1, ,1,2,1,1,2,2,3,3,1,1,2,1,3,0,1, , , , , , , , , , , ,2,3,3,3,4, ,1,5, , , , , , , , , , , , , ,1941,61081,1,2,2,61081,17195,246,192,9999,D,3,0,1,1,0,1,3,0,0,0
031557,3,2,2,2,3,3,3,3,3,2, , , , , , ,6, , , , , , ,2,4,2,2,2,1,1,1,3,1,1,1,4,1,1,2,1,1,2,1,3,2,1,1,1, ,2,1,2,7, ,2, ,1,1,2,2,3,1,1,3,3, , , , , , , , , , , , ,2,2,1,1,1,1,3,4,5,5, ,1,31, , , , , , , , , , , ,2,3,1944,62422,1,2,8,62422,17173,834,116,9999,D,3,0,1,0,0,0,1,0,0,0
031622,2,1,1,2,4,5,5,5,1,2, , , , , , ,6, , , , , , ,2,1,1,4,2,1,1,2,1,1,3,3,4,2,1,1,2,2,1,1,2,2,2,1,2, ,2,2,2,1, ,1, ,1,2,2,2,2,2,3,3,1,1,2,1,1,1,0, , , , , , , , , , , ,1,6,2,7,3,1, ,14, , , , , , ,1, , , , ,5,4,1942,60175,1,2,4,60174,17089,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
031669,2,2,2,2,3,3,2,2,3,2, , , , , , ,6, , , , , , ,2,1,2,2,4,2, ,3,3,2,1,1,1,3,1,5,2,1,1,1,3,2,3,2,2,2, ,2,2,7, ,6, ,1,1,3,3,2,3,2,4,1,1,4,4,0,4,0, , , , , , , , , , , ,1,5,6,4,4, ,2, , , , , , , , , , , ,4, , ,1946,60103,6,2,5,60103,17043,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
031727,2,3,2,1,2,3,2,2,1,2,5, , , , , ,1, , , , , , ,2,3,2,3,2,1,1,3,2,2,3,1,2,2,3,1,2,3,2,2,2,2,1,1,1,1, ,1,3,1, ,1, ,1,1,2,2,2,3,3,3,1,1,2,2,3,0,3, , , , , , , , , , , ,1,6,3,4,2,1, ,5, , , , , , , , , , , , , ,1947,60532,1,2,6,60515,17043,196,140,1698,A,3,1,1,0,0,1,3,0,0,0
031750,2,1,1,1,2,2,2,3,1,2,1, , , , , ,6, , , , , , ,2,3,2,4,2,1,1,2,2,1,1,1,1,4,1,3,2,2,2,2,2,2,1,1,2, ,1,1,2,1, ,1, ,1,1,1,2,2,2,3,3,3, , , , , , , , , , , , ,2,1,1,2,1,1,4,3,3,5, ,3, , , , , , , , , , , , , , ,1938,60007,1,2,4,60007,17031,196,140,1698,A,3,1,1,0,0,0,2,0,0,0
031827,1,1,1,1,2,3,1,2,2,2, , , , , , ,6, , , , , , ,2,1,2,5, ,2, ,2,1,1,2,1,2,1,3,2,2,2,2,2,2,2,2,2,2,1, ,1,1,7, ,6, ,2,2,2,1,3,2,2,1,2, , , , , , ,2, , , , , , , , , , ,1,2,3,2,5, ,3, , , , , , , , , , , , , , ,1990,60632,4,2,1,60629,17031,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
031841,3,1,2,2,3,4,2,1,1,2, , , , , , ,6, , , , , , ,2,3,2,4,2,1,1,2,2,1,1,1,3,1,1,2,2,2,1,1,2,2,2,2,1, ,1,1,2,1, ,1, ,1,1,1,1,1,1,2,2,3, , , , , , , , , , , , ,2,1,1,2,2,2,6,2,1,4, ,1,1,1, , , , , , , , , , ,3,2,1959,61607,1,2,5,61607,17143,676,556,3790,B,3,0,1,0,0,0,1,0,0,0
031856,3,2,3,1,2,3,3,3,4,2,1, , , , , ,7, , , , , , ,2,1,2,5, ,2, ,3,2,3,3,3,4,3,1,2,2,2,2,2,1,2,2,2,2, ,2,2,1,7, ,6, ,1,1,2,1,4,1,3,1,2, , , , , , ,1,2,1,1,0,0, , , , , ,2,6,1,8,5, ,1,3, ,8, , , , , , , , , ,6,2,1972,62546,1,2,5,62546,17021,834,116,9999,D,3,1,1,0,0,0,2,0,1,0
