id,date,int_lang,area,type,cell,safe,youngest,reg,gender,rwdirusa,rwdiril,rwdirlocal,qlife,app_gov_rau,app_ussen_kirk,app_ussen_dur,prim16_party,prim16_pres_dem,prim16_pres_dem_other,prim16_sen_dem,prim16_sen_dem_other,prim16_pres_rep,prim16_pres_rep_other,prim16_sen_rep,prim16_sen_rep_other,fixdeficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_services,gamble_exp,tax_ret_inc,tax_ret_50K,tax_ret_supp,tax_inc_temp,tax_inc_mil,tax_inc_grad,tax_gas,redist_neutral,redist_commis,cf_judge,cf_judge_pub,term_lim,right2work,budg_affect,budg_imp1,budg_imp2,budge_imp3,budg_imp4,budg_imp5,budg_imp6,budg_imp7,budg_imp_other,budg_child,budg_citycuts,budg_he,budg_infradec,budg_jobloss,budg_locecon,budg_realest,budg_socserv,budg_other,abort_leg,lg_rights,med_mari,mari_rec,vet_courts,miss_diabet,miss_depress,miss_heart,miss_anxiety,education,ideo_leans,ideology,party_leans,party_aff,employ_time,employ_type,retired_type,union,relig_att_often,relig_type,religion,born_again,vet,vet_fam,zip,age_cat,birth_yr,rac_eth,rac_eth_other,hhinc
51414,20160218,1,2,1, , ,1,1,1,2,2,1,3,1,3,4,4, , , , , , , , ,2,2,1,2,2,1,3,2,4,2,2,2,2,4,2,2,4,1,1,2,3,2,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,3,2,1,2,2, ,4, ,4,3,4,3,9,9,3, ,4,2,1,1, ,2,5,2,60532,12,1939,7, ,1
11890,20160217,1,2,2,1,1, ,1,1,2,2,2,3,1,2,5,2, , , , ,5, ,4, ,2,1,1,2,1,1,1,1,4,2,2,1,1,4,4,3,4,2,2,1,2,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,2, ,2,1, ,6,4,3,6,3,1,1, ,2,6, ,9, ,5,1,60527,8,1958,1, ,9
69597,20160220,1,2,1, , ,1,1,2,2,2,2,2,4,4,2,1,4, ,1, , , , , ,2,2,2,2,1,2,2,2,2,3,2,1,1,3,2,2,3,1,2,1,1,2,2,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,1,1,1,2, ,2,1, ,6,2,1,2,1,2,1, ,2,4, ,1,2,5,2,60527,6,1968,1, ,6
13806,20160217,1,2,1, , ,1,1,1,2,2,1,2,1,1,5,2, , , , ,1, ,1, ,3,2,1,2,1,2,2,1,1,1,2,2,2,4,1,1,1,5,4,4,4,1,1,3, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,4,2,2,1, ,1, ,3,3,2,6,3,3, ,1,2,1,1, ,2,2,2,60526,13,1923,1, ,4
15989,20160217,1,2,2,1,1, ,1,1,1,2,3,2,9,9,5,3, , , , , , , , ,2,2,2,2,1,1,2,1,4,1,2,2,2,4,1,5,4,2,1,4,4,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1, , ,1,4,3,2,3,1,2,3, ,1,5, ,8, ,5,1,60526,2,1991,1, ,9
2456,20160215,1,2,2,1,1, ,1,1,2,2,3,4,5,3,4,1,2, ,5, , , , , ,5,3,2,1,2,2,2,2,3,1,2,2,2,3,3,3,3,3,5,5,5,5,4,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,3,4,2,2, ,5, ,5,6,6,9,4,2,4, , ,2,5, ,3, ,5,2,60525,5,1975,1, ,9
5739,20160216,1,2,1, , ,1,1,1,3,2,1,2,4,4,2,4, , , , , , , , ,3,2,3,2,2,2,2,1,5,4,3, ,3,1,1,1,1,1,2,1,2,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,1,1,1,1,3, ,2,2, ,1,3,2,3,1,3, ,1,1,4, ,1,2,2,1,60525,12,1939,1, ,1
7059,20160215,1,1,1, , ,1,1,1,1,2,1,3,5,4,4,3, , , , , , , , ,2,2,2,1,1,2,2,2,2,3,2,1,1,2,1,1,4,1,1,1,2,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,2,1,2,1,1, , ,1,4,3,2,3,1,1,3, ,1,4, ,2, ,5,2,60525,7,1965,2, ,5
18902,20160216,1,2,2,1,1, ,1,1,2,2,1,5,2,2,5,2, , , , ,8, ,4, ,2,1,1,1,1,1,1,1,4,2,2,3,2,1,2,1,1,1,4,1,1,1,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,1,1,2, ,1,1, ,3,1,1,6,3,3, ,1,2,1,1, ,2,2,1,60525,11,1945,1, ,5
52407,20160218,1,2,1, , ,1,1,2,2,1,1,2,2,2,4,3, , , , , , , , ,2,2,1,1,2,2,1,2,3,1,2,2,2,4,4,4,4,2,1,2,3,3,1,2, , , , , , , , ,0,0,0,0,0,0,0,0,0,2,3,4,2,2,2, , ,1,6,4,3,5,3,1,4, ,2,5, ,2, ,5,2,60523,5,1974,6,Middle Eastern,7
