id,date,int_lang,area,type,S1,S2,S3,S5,gender,rwdirusa,rwdiril,rwdirlocal,qlife,raunerappog,Q6,Q7,Q8,Q9,Q10,Q11,Q11_oth,Q12,Q12_oth,Q13,Q13_oth,Q14,fix_deficit_il,stale_budg_aff,Q16AM1,BudgetAffect,Q16A_oth,Q16AM2,Q16AM3,Q16AM4,Q16AM5,Q16AM6,Q16AM7,Q16AM8,Q16AM9,view_unions_og,right2work_og,union_inf,Q20,Q21,desire_move,Q23,Q23_oth,ReasonMoveCollapse,term_lim,redist_commis,Q26,env_econ,vet_sentence,education,ideology_og,party_aff_og,Q32,Q33,Q34,Q35,QR01,QR02A,QR02B,QR03,Q36,Q37,Q38,Q39_cat,birth_yr,rac_eth,Q40_oth,hhinc,Generation,party_aff,ideology,age_cat50,BudgAffectCOL,raunerapp,unionview,right2work,fairshr,gaslockbox,madapp,cullapp,enthusiasm,prez16,senate16,comptroller16,climate_chng,likely_move
043393,20161001,1,2,1, , ,1,1,2,2,2,1,3,5,5,5,1,2,2,3, ,3, ,1, ,1,2,1,9,9, , , , , , , , , ,2,5,2,1,5,1,2, ,2,1,1,1,3,1,3,3,3,2,1, ,1,1,1, ,2,5,1,60110,8,1960,1, ,5,2,1,2,2,2,2,1,3,1,1,2,2,2,2,2,1,1,2
002020,20160927,1,1,1, , ,1,1,2,1,2,2,2,5,4,4,1,2,1,3, ,3, ,3, ,4,1,1,9,9, ,6,1, , , , , , ,1,4,1,1,4,2, , , ,1,1,1,1,1,6,2,1,1,3, ,1,3,1, ,2,5,2,60642,3,1984,1, ,6,4,1,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2
007278,20160927,1,3,1, , ,1,1,2,1,1,1,2,5,5,5,1,1,3,3, ,3, ,3, ,3,1,1,9,9, , , , , , , , , ,1,1,2,1,5,2, , , ,1,1,1,1,3,6,2,1,3, ,3,1,1,1, ,2,5,2,61801,13,1934,1, ,3,1,1,1,2,2,2,1,1,1,2,2,2,3,2,2,2,1,2
055091,20160927,1,2,1, , ,1,1,1,1,2,1,1,4,5,5,1,1,2,3, ,3, ,3, ,3,3,1,9,9, , , , , , , , , ,2,5,2,2,5,2, , , ,1,1,1,1,1,6,2,1,3, ,2,2,1,1, ,2,5,2,60175,11,1942,1, ,6,1,1,1,2,2,2,1,3,2,2,2,2,2,2,2,2,1,2
018448,20160928,1,3,2,1,1, ,1,2,1,2,1,2,5,2,2,1,1,1,3, ,3, ,3, ,1,1,1,9,9, , , , , , , , , ,1,5,2,1,5,2, , , ,1,2,1,1,2,5,2,1,1,3, ,2,5, ,1,2,5,1,62932,3,1986,1, ,3,4,1,1,1,2,2,1,3,1,1,1,1,1,2,2,2,1,2
035021,20160928,1,2,2,1,1, ,1,1,3,2,1,2,4,5,5,1,2,2,10, ,1, ,10, ,1,3,1,9,9, ,10, , , , , , , ,5,5,3,2,5,2, , , ,1,1,2,1,1,6,4,5,1,3, ,2,3,1, ,2,5,2,61822,7,1963,1, ,5,2,3,3,2,2,2,3,3,2,1,2,2,2,5,1,5,2,2
079486,20160929,1,3,2,1,1, ,1,1,1,2,1,2,5,1,1,1,1,4,4, ,3, ,3, ,1,3,1,9,9, , , , , , , , , ,1,4,1,1,5,2, , , ,2,2,1,1,2,2,3,1,3, ,1,2,5, ,1,2,2,2,61611,11,1944,1, ,3,1,1,2,2,2,2,1,2,1,1,1,1,4,2,2,2,1,2
080152,20160929,1,2,2,1,1, ,1,2,2,2,2,1,1,5,5,1,1,1,1, ,10, ,1, ,1,2,1,9,9, , , , , , , , , ,4,1,3,2,5,2, , , ,1,2,2,2,1,5,5,5,1,4, ,2,1,1, ,2,5,2,60102,9,1953,1, ,9,2,3,3,2,2,1,2,1,2,1,2,2,1,1,5,1,2,2
042380,20160930,1,3,1, , ,1,1,2,1,2,2,3,5,5,9,1,1,1,3, ,3, ,10, ,1,5,1,9,9, , , , , , , , , ,1,5,1,2,5,2, , , ,2,3,3,2,3,3,3,1,3, ,1,2,3,1, ,1,5,1,61244,14,0,2, ,9,0,1,2,0,2,2,1,3,2,1,2,3,1,2,2,5,3,2
045146,20160930,1,2,1, , ,1,1,1,2,2,3,2,5,5,5,1,1,2,10, ,10, ,5, ,3,2,1,9,9, , , , , , , , , ,1,4,1,2,5,2, , , ,1,1,1,1,2,5,3,4,1,1, ,2,5, ,3, ,5,2,60202,4,1977,1, ,6,3,2,2,1,2,2,1,2,2,2,2,2,2,5,5,3,1,2
029253,20161001,1,1,1, , ,1,1,2,3,3,3,5,9,9,9,1,1,3,3, ,10, ,10, ,5,5,1,9,9, , , , , , , , , ,1,5,1,1,5,2, , , ,2,2,1,2,2,3,2,8,5, , ,1,1,2, , ,5,1,60610,8,1959,2, ,1,2,8,1,2,2,3,1,3,1,3,3,3,3,2,5,5,1,2
030166,20161001,1,3,1, , ,1,1,2,2,2,3,3,5,4,5,1,1,4,3, ,3, ,10, ,4,5,1,9,9, ,12, , , , , , , ,1,4,2,1,5,2, , , ,1,1,1,1,3,2,6,1,3, ,3,2,1,1, ,2,5,1,61953,12,1938,1, ,1,1,1,8,2,2,2,1,2,1,2,2,2,4,2,2,5,1,2
036173,20161001,1,2,1, , ,1,1,1,1,2,1,2,5,4,2,2,1,1,3, ,3, ,3, ,1,3,1,9,9, ,2, , , , , , , ,2,1,2,2,4,2, , , ,1,1,1,1,1,6,2,4,2,2, ,2,1,1, ,2,2,1,60304,9,1952,1, ,5,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2
007982,20161002,1,1,1, , ,1,1,1,1,2,1,1,5,5,5,1,1,1,3, ,3, ,3, ,3,1,1,9,9, , , , , , , , , ,1,4,1,1,4,2, , , ,1,1,1,1,1,6,1,1,1,4, ,2,3,2, , ,5,1,60611,10,1951,1, ,7,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,2,1,2
076433,20161002,1,3,1, , ,1,1,2,2,2,1,4,4,9,9,2,2,2,3, ,10, ,4, ,1,3,1,9,9, , , , , , , , , ,2,2,2,2,4,2, , , ,1,1,2,1,1,2,2,2,1,2, ,2,2,1, ,2,5,2,62573,2,1991,1, ,2,4,1,1,1,2,2,1,1,2,1,3,3,2,2,5,2,2,2
