id,region,version,rwdirusa,rwdiril,rwdirlocal,qlife,app_pres_oba,app_gov_quin,app_teapar,vote_teapar,prim12_party,prim12_rep_pres,prim12_rep_pres_oth,pres12_oba_per,pres12_oba_cai,pres12_oba_rom,pres12_oba_pau,term_lim,cf_lim_judg,cf_pub_judg,cf_lim_leader,prim_nodeclr,redist_neutral,redist_commis,deficit_order,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_ret_inc,tax_retover50K,tax_sales,tax_services,gamble_exp,tax_cigs,latepay_order,latepay_il,img_road2cit,img_enforce,img_localarrest,img_childlegres,img_instatetuit,civility_order,civility1,civility2,will2compro,gen_betrldrs_bel,gen_wellqual_bel,gen_equalnum_bel,gen_betrldrs_thi,gen_wellqual_thi,gen_equalnum_thi,gen_betrldrs_feel,gen_wellqual_feel,gen_equalnum_feel,betteroff_now,betteroff_1yr,betteroff_other,gender,education,ideology_scale,ideology,party_aff_og,teaparty,employ_time,employ_type,retire_type,unemp_past12mo,union,relig_att_often,relig_att_lstmo,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again1,born_again2,born_again,born_again_evan,bible_feel,bible_tho,bible_bel,birth_yr,rac_eth,rent_own1,rent_own2,ownhome,renthome,hhinc,fips,adi,dma,msa,nielson,census,date,duration,party_aff,teapar_collapse,gen_betrldrs_col,gen_wellqual_col,gen_equalnum_col,area
000612,1,2,1,2,1,3,1,4,4,4,2, , ,1, ,1,3,2,4,4,4,4,1,1,5,2,2,2,2,2,2,2,2,1, ,2,2,2,2,2,1,1,1,1,1,3,2,2, ,1, , , ,3,1,1, , , ,3,3,2,2,3,1,1,1,2,3, ,3,2,2,4, , ,2, , , , , , , , , , , ,80, , , , , ,2, ,1954,2, ,1, , ,3,17031,196,140,1698,1,3,10/11/2011,48.47,1,2,3,1,1,1
000636,2,3,2,2,2,2,4,4,5, ,1,5, ,2, ,2,2,1,1,4,1,2,1,1,4,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1, ,1, , , , , , ,3,1,3,2,2,2,2,3,1,3,5,1,1,4, ,2,2,5, , ,1,14, , , , , , ,1, , , , , , ,2,2, , ,3,1960,1, , ,1,2,6,17097,196,140,1698,1,3,10/11/2011,26.24,3, ,3,1,3,2
000679,1,1,1,2,1,3,1,3,5, ,2, , ,1, ,1,1,1,1,5,2,1,1,1,6,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,3,1,1,1,1,1,2,4,2,1,2,1,1, , , , , , ,1,3,3,2,4,1,2,1,2,3, ,4,2,2,1,2,1, ,16, , , , , , , , , , , ,3, , , ,1, , ,1937,2,4, , , ,1,17031,196,140,1698,1,3,10/11/2011,26.32,1, ,2,1,1,1
000722,2,3,2,2,1,1,2,3,4,4,3, , ,1, ,1,1,1,1,1,1,1,1,1,6,3,2,2,2,2,3,2,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,3,3,1, , , , , , ,3,1,3,3,3,2,2,6,1,2,4,2,3, ,1,1,2,4, , ,1,16, , , , , , , , , , , , , ,2,2, , ,2,1946,1, , ,1,2,4,17089,196,140,1698,1,3,10/11/2011,27.47,2,2,3,1,3,2
000736,2,2,2,2,2,5,4,4,4,4,1,2, ,2, ,2,2,1,4,4,4,1,2,1,6,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,2,2,1,1,1,1,2,1, ,5, , , ,3,1,1, , , ,2,2,2,2,3,1,1,4,1,2,1, ,1,2,4, , ,1,19, , , , , , , ,1, , , , ,1, , , ,2, ,0,1, ,6, , ,8,17097,196,140,1698,1,3,10/11/2011,26.5,2,2,3,1,1,2
000742,3,1,2,2,2,5,4,4,2,2,3, , ,2, ,2,2,1,4,4,1,1,4,1,6,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,3,2,1,1,2,2,1,1, ,1,3,1,3, , , , , , ,2,2,2,2,4,1,3,5,2,3, ,3,1,2,4, , ,1,80, , , , , , , , , , , ,2, , , ,2, , ,1948,1,4, , , ,4,17201,744,616,4042,2,3,10/11/2011,20.3,3,1,3,1,3,3
000756,3,2,3,2,1,2,2,2,5, ,4, , ,1, ,3,1,1,2,2,2,2,1,1,5,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,3,3,1, , , ,3,1,3, , , ,3,3,2,2,4,1,1,3,2,1,2, ,2,2,4, , ,1,5, , , , , , , , , , , , , , , , ,1, ,1961,1, ,1, , ,6,17091,196,140,2810,1,3,10/11/2011,18.52,1, ,3,1,3,3
000780,1,3,2,3,2,4,2,3,4,4,3, , ,1, ,1,1,3,4,2,5,1,5,1,6,2,1,2,2,2,1,2,2,2,3,2,3,1,3,2,2,1,1,2,2,2,1,2, ,5, , , , , , ,3,1,4,2,3,3,2,2,2,9,1,2,4, , ,1,2,1,1,1, ,80, , , , , , , , , , , , , ,3,2, , ,1,1944,2, , ,2,1,8,17031,196,140,1698,1,3,10/11/2011,27.32,1,2,3,1,4,1
000787,3,3,2,2,1,2,1,2,4,4,2, , ,1, ,1,1,1,1,1,4,1,1,3,2,2,2,2,2,2,2,2,2,1, ,2,1,1,1,1,1,1,1,1,1,2,2,3,5,1, , , , , , ,1,1,4,3,3,1,2,2,2,2,3,2,3, ,3,2,1,4, , ,1,1,1, , , , , , , , , , , , ,2,2, , ,2,1921,1, , ,1,2,3,17123,676,556,3790,4,3,10/11/2011,20.5,1,2,1,1,4,3
000810,3,3,2,3,2,5,4,4,6, ,4, , ,3, ,3,3,1,2,5,3,2,1,1,1,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,1, , , , , , ,3,1,1,2,2,2,2,2,2,1,4,2,4, , ,2,2,5, , ,2, , , , , , , , , , , ,80, , , , , , ,3,1982,1, , ,2,1,1,17201,744,616,4042,2,3,10/11/2011,35.22,2, ,3,1,1,3
