id,area,type,cell,safe,spk_youngest,reg_voter,gender,rwdirusa,rwdiril,rwdirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,gov14_quin_raun,gov14_quin_raun_other,gov14_quin_brady,gov14_quin_brady_other,gov14_quin_dill,gov14_quin_dill_other,gov14_quin_ruth,gov14_quin_ruth_other,fix_deficit_il,tax_inc_temp,tax_temp_inc2,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_sales,tax_services,gamble_exp,tax_ret_inc,tax_ret_inc50k,pen_refbill,term_lim,term_leader,term_resp,term_expert,term_fresh,term_lobby,crpt_city_com,crpt_county_com,crpt_city_impact,crpt_state_com,crpt_st_impact,crpt_fed_com,crpt_fed_impact,gun_own,schoolgrd,schoolgrd_tax,gun_conceal_expt,gun_conceal_safe,local_ce,national_ce,news_accurate,say_from,say_from_other,q46_a1,q46_a2,q46_a3,q46_a4,q46_a5,q46_a6,q46_a7,q46_a8,q46_a9,q46_a10,q46_a11,q46_a12,q46,hc_medicaid,hc_ins_quality,hc_ins_cost,hc_get_ins,hc_delayed,hc_condition,abort_leg,lg_rights,education,ideology,party_aff1,employ_time,employ_type,retired_type,relig_att_often,relig_type,religion,born_again,zip,age,birth_yr,rac_eth1,rac_eth_other,hhinc1,news_loc_tv,news_nat_np,news_npr,news_radio,news_msnbc,news_fox,news_cnn,news_bbc,news_huffpo,news_comedy,news_social,news_oth_dum,news_oth_word,news_no_contact,Generation,hhinc,party_aff,rac_eth
605119,3,2,1,1, ,1,1,2,2,1,1,3, , ,3, ,3, ,3, ,3, ,2,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,2,4,3,2,3,1,2,2,1,3,1,3,1,2,1,2,2,1,2,2,3,88,SOUTHWESTERN ILLINOIS,11,1,10,4,88, , , , , , , ,CBS EVENING NEWS; NBC NIGHTLY NEWS; ST LOUIS POST DISPATCH,2,4, ,1,1,4,2,1,5,1,1,1,4, ,1,2, , ,62236,4,1977,6,INDIAN AMERICAN,3,1,0,0,1,0,0,0,0,0,1,1,1,CBS EVENING NEWS; NBC NIGHTLY,0,3,1,1,3
605839,3,2,1,1, ,1,1,2,2,1,3,9, , ,9, ,9, ,9, ,9, ,2,2,2,2,1,2,2,2,2,2,2,3,1,2,1,3,1,2,2,3,2,3,2,2,1,3,3,3,4,2,2, ,2,2,3,3,2,6, ,1,11, , , , , , , , , , , ,2,9, , ,2, ,2,1,3,2,3,1,3, ,5, ,3, ,61957,4,1977,1, ,3,1,0,0,0,0,0,0,0,0,0,1,0, ,0,3,1,3,1
603894,3,2,1,1, ,1,2,2,2,2,3,1,5, ,1, ,1, ,1, ,1, ,3,2,1,3,3,2,2,3,2,2,2,1,2,1, ,9,1,1,1,3,1,2,9,2,4,3,4,4,4,1,1,2,2,1,3,4,3,5, ,11,4,2,9,1,6,8,88, , , , ,PBS; WMAQ,1,2,1, ,1,2,3,3,4,3,3,3, ,2,1,1, ,1,60408,9,1951,1, ,2,1,1,0,1,0,1,0,1,1,0,1,1,PBS; WMAQ,0,2,1,3,1
604660,3,2,1,1, ,1,1,2,2,1,2,1,8, ,1, ,9, ,9, ,1, ,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,3,4,3,4,1,9, ,9,1,3,3,3,11, ,11,9,8,3,6,7,4,1,5, , , , ,1,3, , ,1,2,2,2,3,2,3,1,1, ,2,1, ,2,62019,5,1970,1, ,5,1,0,1,1,1,1,1,1,1,0,1,0, ,0,3,2,3,1
604068,2,2,1,1, ,1,1,1,1,1,3,2, , ,3, ,3, ,3, ,3, ,2,1, ,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,3,3,3,3,3,4,3,3,2,4,2,1,1,2,1,2,3,3,2,1, ,2,1,11,4,8,7,10, , , , , , ,2,3, , ,2, ,1,1,6,1,1,1,1, ,4, ,1,2,60056,5,1969,2, ,9,1,1,0,1,0,0,1,1,0,1,1,0, ,0,3,9,1,2
604132,2,2,1,1, ,1,1,2,2,2,5,2, , ,3, ,9, ,9, ,9, ,2,2,4,2,2,2,2,2,2,2,2,2,1,2,2,4,1,1,2,3,2,4,4,4,3,3,3,3,3,2,2, ,2,2,3,3,2,1, ,4,8,11,10,1,88, , , , , , ,NATIONAL NEWS CBS,1,2,1, ,1,2,2,1,4,2,1,1,2, ,4, ,9, ,60618,99,0,1, ,3,1,0,0,1,0,0,0,1,0,1,1,1,NATIONAL NEWS CBS,0,0,1,1,1
035418,2,1, , ,1,1,1,2,2,2,3,2, , ,1, ,3, ,1, ,9, ,2,1, ,2,2,3,2,2,2,2,2,2,1,2,1,4,1,1,1,4,1,9,3,3,2,3,2,2,2,1,1,1,1,1,2,2,2,1, ,2,6,10,7,1,4,3, , , , , , ,2,3, , ,2, ,2,1,3,3,1,1,3, ,1,1, ,2,60463,9,1950,1, ,5,1,1,1,1,0,1,1,0,0,1,0,0, ,0,2,2,1,1
028527,3,1, , ,1,1,2,2,2,2,4,3, , ,1, ,1, ,1, ,1, ,2,3, ,2,2,2,2,2,2,2,2,2,2,1, ,1,1,1,1,3,1,3,3,3,4,3,4,4,4,1,1,2,1,1,2,4,4,88,SOUTH EASTERN,1,10,11,6, , , , , , , , , ,2,3, , ,2, ,3,3,3,3,9,1,1, ,1,1, ,2,64275,9,1950,1, ,3,1,0,0,0,0,1,0,0,0,1,1,0, ,0,2,1,9,1
030713,3,1, , ,1,1,1,2,2,1,4,1,1, ,1, ,1, ,1, ,1, ,2,2,3,2,2,1,2,1,1,1,2,1,1,2,1,4,1,1,1,4,1,4,1,2,3,4,4,4,4,2,1,1,1,2,3,3,2,88,MIDWESTERN,2,7,3,5,1,4,6, , , , , , ,2,3, , ,2, ,2,2,2,2,3,3, ,4,4, ,1,2,60548,12,1938,1, ,4,1,1,1,1,1,1,1,0,0,0,0,0, ,0,1,2,3,1
031833,3,1, , ,1,1,1,1,1,1,2,1,10, ,9, ,1, ,1, ,9, ,2,2,3,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,4,2,4,2,2,1,3,3,3,3,1,1,2,1,1,3,3,3,1, ,5,6,10,1,7, , , , , , , , ,2,3, , ,2, ,2,1,3,2,3,1,3, ,5, ,3, ,60544,5,1972,1, ,6,1,0,0,0,1,1,1,0,0,1,0,0, ,0,3,3,3,1
