id,area,rwdirusa,rwdiril,rwdirlocal,qlife,redist_hat,redist_neutral,redist_commis,app_pres_oba,firstam_1,firstam_2,firstam_3,firstam_4,firstam_5,firstam_6,firstam_7,firstam_8,firstam_9,firstam_10,firstam_11,firstam_12,firstam_13,firstam_14,massmedia,press_free,teapar_know,app_teapar,teapar_vote,gen10_vote,gen10_pollplace,gen10_house,gen10_enthu,term_lim,term_leader,cf_lim_judic,cf_pub_judic,cf_lim_leader,prim_nodeclr,fix_deficit_il,cuts_K12,cuts_he,cuts_cops,cuts_parks,cuts_poor,cuts_dis,pen_cuts,tax_inc_temp,tax_sales,tax_services1,tax_services2,gamble_exp,sell_il_asset,gen10_gov,gen10_gov_no3,gen10_ussen,gen10_ussen_no3,recall_today,recall,abort_leg,lg_rights,lg_mil_open,death_pen,betteroff_now,betteroff_1yr,poltol_vers,poltol_frs,poltol_frs_rep,poltol_frs_dem,poltol_frs_wom,poltol_frs_teapar,poltol_frs_lds,poltol_fru,poltol_fru_rep,poltol_fru_dem,poltol_fru_wom,poltol_fru_teapar,poltol_fru_lds,poltol_you_rep,poltol_you_dem,poltol_you_wom,poltol_you_teapar,poltol_you_lds,gender,education,ideology,party_aff,relig_att_often,relig_type,religion,relig_denom,relig_epis,relig_bapt,relig_bret,relig_coc,relig_cog,relig_luth,relig_meth,relig_pres,relig_crc,relig_mean,relig_what,born_again,christian_type,birth_yr,zip,rac_eth,rent_own,hhinc,zip1,fips,adi,dma,msa,nielson,census,firam_pres,firam_spe,firam_relig,firam_pet,firam_asmbly,firam_tot,firam_none1,firam_other,firam_none2
15303,3,1,2,1,3,3,2,1,1,2, , , , , , ,6, , , , , , ,1,1,2,5, ,1,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2, ,2,2,1,1, ,1, ,2,2,3,2,1,1,3,3,2, , , , , , ,1,0,4,4,0,0, , , , , ,1,3,4,1,3,1, ,5, , , , , , , , , , , , , ,1954,60435,4,2,6,60586,17197,196,140,1698,A,3,0,1,0,0,0,1,0,0,0
15393,2,2,2,1,3,3,2,3,2,2, , , , , , ,3, , , , , , ,2,1,2,5, ,1,1,3,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1, ,1,1,2,5,3,1, ,1,1,1,1,3,1,3,2,1,1,1,1,1,0,0, , , , , , , , , , , ,2,2,4,4,2,1, ,5, , , , , , , , , , , , , ,1944,60134,1,2,4,60134,17089,196,140,1698,A,3,0,1,1,0,0,2,0,0,0
15419,1,2,2,2,5,4,2,3,4,2, , , , , , ,5, , , , , , ,1,2,2,2,2,1,1,3,1,1,2,2,4,3,1,2,1,2,1,2,1,1,1,2,2,2, ,1,2,2, ,2, ,1,1,2,3,2,1,2,2,2, , , , , , ,1,3,0,3,1,3, , , , , ,1,5,4,3,3,1, ,13, , , , , ,2, , , , , ,2,3,1947,60638,1,2,8,60638,17031,196,140,1698,A,3,0,1,0,0,1,2,0,0,0
15463,1,1,2,2,1,3,2,1,1,3,2,5, , , , ,6, , , , , , ,2,3,1,4,2,1,1,2,3,2,4,1,1,4,2,3,2,2,1,2,2,2,2,1,2, ,2,2,2,1, ,1, ,1,1,1,1,1,2,2,1,2, , , , , , ,1,0,4,4,0,4, , , , , ,1,6,1,1,4, ,3, , , , , , , , , , , , , , ,1952,60653,7,2,5,60653,17031,196,140,1698,A,3,0,1,1,0,1,3,0,0,0
15468,3,3,2,1,2,2,2,1,4,6, , , , , , , , , , , , , ,2,3,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,3,2,1,2,2,1,1,2,2, ,1,2,2, ,6, ,1,1,1,4,3,1,3,3,2, , , , , , ,2, , , , , , , , , , ,1,6,3,8,3,1, ,5, , , , , , , , , , , , , ,1951,62656,1,2,5,62656,17107,834,116,9999,D,3,0,0,0,0,0,0,1,0,1
15524,3,1,2,1,2,4,2,1,2,1,5, , , , , ,6, , , , , , ,2,3,2,4,2,2, ,2,2,1,1,1,3,1,1,3,2,2,2,2,1,2,2,1,2,1, ,1,2,7, ,6, ,2,2,1,1,1,3,3,3,3, , , , , , , , , , , , ,2,1,1,2,1,2,5,3,3,4, ,1,14, , , , , , ,1, , , , ,3,2,1976,61571,1,2,5,61571,17179,676,556,3790,B,3,1,0,0,0,1,2,0,0,0
15532,2,2,2,1,2,3,2,3,4,1,3,2, , , , ,6, , , , , , ,2,3,1,1,1,1,1,1,1,1,1,5,2,4,1,2,2,3,2,1,2,2,1,3,2, ,2,1,1,2, ,2, ,1,1,2,2,4,2,3,3,1,1,3,0,3,2,3, , , , , , , , , , , ,2,4,5,7,2,1, ,16, , , , , , , , , , , ,1,3,1947,60140,1,2,4,60140,17089,196,140,1698,A,3,1,1,1,0,0,3,0,0,0
15552,4,2,2,3,4,2,1,1,4,6, , , , , , , , , , , , , ,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,3,1,1,2,1,1,2, ,1,1,2,2, ,2, ,1,1,2,2,1,1,2,1,3, , , , , , , , , , , , ,1,1,1,1,1,2,6,4,5,3,1, ,14, , , , , , ,1, , , , ,3,2,1960,62002,1,2,2,62002,17119,760,626,4118,A,3,0,0,0,0,0,0,1,0,1
15574,3,2,2,2,5,3,3,1,3,6, , , , , , , , , , , , , ,2,1,2,2,4,2, ,1,3,2,3,3,5,3,2,3,2,1,2,2,2,3,1,2,2, ,2,2,1,2, ,2, ,2,2,1,2,3,1,2,3,2, , , , , , ,1,1,1,0,0,0, , , , , ,1,4,3,4,1,1, ,13, , , , , ,1, , , , , ,1,3,1941,60960,1,2,3,60960,17183,834,116,1918,C,3,0,0,0,0,0,0,1,0,1
15590,2,2,2,2,2,5,5,3,4,2, , , , , , ,1, , , , , , ,2,4,2,2,1,1,1,1,3,1,3,3,4,5,1,5,2,2,1,2,2,2,2,2,2,1, ,1,2,7, ,6, ,3,3,2,4,2,1,3,2,1,2, , , , , , , , , , , , , , , , ,1,6,4,7,4, ,8, , , , , , , , , , , , , , ,1964,60013,1,2,8,60013,17111,196,140,1698,A,3,1,1,0,0,0,2,0,0,0
